2023-11-14 12:17:OBTENIENDO DATOS TABLA
2023-11-14 12:17:DATOS TABLA EXTRAIDO
2023-11-14 12:17:OBTENIENDO DATOS CABECERA
2023-11-14 12:17:DATOS CABECERA EXTRAIDOS
2023-11-14 12:17:ANALIZANDO OD_019005-001168761_8.pdf
2023-11-14 12:17:TEXTO EXTRAIDO
2023-11-14 12:17:ELIMINANDO DUPLICADOS
2023-11-14 12:17:OBTENIENDO DATOS TABLA
2023-11-14 12:17:DATOS TABLA EXTRAIDO
2023-11-14 12:17:OBTENIENDO DATOS CABECERA
2023-11-14 12:17:DATOS CABECERA EXTRAIDOS
2023-11-14 12:17:ANALIZANDO OD_019005-001168761_9.pdf
2023-11-14 12:17:TEXTO EXTRAIDO
2023-11-14 12:17:ELIMINANDO DUPLICADOS
2023-11-14 12:17:OBTENIENDO DATOS TABLA
2023-11-14 12:17:DATOS TABLA EXTRAIDO
2023-11-14 12:17:OBTENIENDO DATOS CABECERA
2023-11-14 12:17:DATOS CABECERA EXTRAIDOS
2023-11-14 12:17:ANALIZANDO OD_019005-001168983_1.pdf
2023-11-14 12:17:TEXTO EXTRAIDO
2023-11-14 12:17:ELIMINANDO DUPLICADOS
2023-11-14 12:17:OBTENIENDO DATOS TABLA
2023-11-14 12:17:DATOS TABLA EXTRAIDO
2023-11-14 12:17:OBTENIENDO DATOS CABECERA
2023-11-14 12:17:DATOS CABECERA EXTRAIDOS
2023-11-14 12:17:ANALIZANDO OD_019005-001168983_2.pdf
2023-11-14 12:17:TEXTO EXTRAIDO
2023-11-14 12:17:ELIMINANDO DUPLICADOS
2023-11-14 12:17:OBTENIENDO DATOS TABLA
2023-11-14 12:17:DATOS TABLA EXTRAIDO
2023-11-14 12:17:OBTENIENDO DATOS CABECERA
2023-11-14 12:17:DATOS CABECERA EXTRAIDOS
2023-11-14 12:17:ANALIZANDO OD_019005-001168983_3.pdf
2023-11-14 12:17:TEXTO EXTRAIDO
2023-11-14 12:17:ELIMINANDO DUPLICADOS
2023-11-14 12:17:OBTENIENDO DATOS TABLA
2023-11-14 12:17:DATOS TABLA EXTRAIDO
2023-11-14 12:17:OBTENIENDO DATOS CABECERA
2023-11-14 12:17:DATOS CABECERA EXTRAIDOS
2023-11-14 12:17:ANALIZANDO OD_019005-001168983_4.pdf
2023-11-14 12:17:TEXTO EXTRAIDO
2023-11-14 12:17:ELIMINANDO DUPLICADOS
2023-11-14 12:17:OBTENIENDO DATOS TABLA
2023-11-14 12:17:DATOS TABLA EXTRAIDO
2023-11-14 12:17:OBTENIENDO DATOS CABECERA
2023-11-14 12:17:DATOS CABECERA EXTRAIDOS
2023-11-14 12:17:ANALIZANDO OD_019005-001168983_5.pdf
2023-11-14 12:17:TEXTO EXTRAIDO
2023-11-14 12:17:ELIMINANDO DUPLICADOS
2023-11-14 12:17:OBTENIENDO DATOS TABLA
2023-11-14 12:17:DATOS TABLA EXTRAIDO
2023-11-14 12:17:OBTENIENDO DATOS CABECERA
2023-11-14 12:17:DATOS CABECERA EXTRAIDOS
2023-11-14 12:17:ANALIZANDO Orden_de_Despacho_2023_11_12_132118.PDF
2023-11-14 12:17:TEXTO EXTRAIDO
2023-11-14 12:17:ELIMINANDO DUPLICADOS
2023-11-14 12:17:OBTENIENDO DATOS TABLA
2023-11-14 12:17:DATOS TABLA EXTRAIDO
2023-11-14 12:17:OBTENIENDO DATOS CABECERA
2023-11-14 12:17:DATOS CABECERA EXTRAIDOS
2023-11-14 12:17:ANALIZANDO Orden_de_Despacho_2023_11_12_132120.PDF
2023-11-14 12:17:TEXTO EXTRAIDO
2023-11-14 12:17:ELIMINANDO DUPLICADOS
2023-11-14 12:17:OBTENIENDO DATOS TABLA
2023-11-14 12:17:DATOS TABLA EXTRAIDO
2023-11-14 12:17:OBTENIENDO DATOS CABECERA
2023-11-14 12:17:DATOS CABECERA EXTRAIDOS
2023-11-14 12:17:ANALIZANDO Orden_de_Despacho_2023_11_12_132123.PDF
2023-11-14 12:17:TEXTO EXTRAIDO
2023-11-14 12:17:ELIMINANDO DUPLICADOS
2023-11-14 12:17:OBTENIENDO DATOS TABLA
2023-11-14 12:17:DATOS TABLA EXTRAIDO
2023-11-14 12:17:OBTENIENDO DATOS CABECERA
2023-11-14 12:17:DATOS CABECERA EXTRAIDOS
2023-11-14 12:17:ANALIZANDO Orden_de_Despacho_2023_11_12_132125.PDF
2023-11-14 12:17:TEXTO EXTRAIDO
2023-11-14 12:17:ELIMINANDO DUPLICADOS
2023-11-14 12:17:OBTENIENDO DATOS TABLA
2023-11-14 12:17:DATOS TABLA EXTRAIDO
2023-11-14 12:17:OBTENIENDO DATOS CABECERA
2023-11-14 12:17:DATOS CABECERA EXTRAIDOS
2023-11-14 12:17:ANALIZANDO Orden_de_Despacho_2023_11_12_132127.PDF
2023-11-14 12:17:TEXTO EXTRAIDO
2023-11-14 12:17:ELIMINANDO DUPLICADOS
2023-11-14 12:17:OBTENIENDO DATOS TABLA
2023-11-14 12:17:DATOS TABLA EXTRAIDO
2023-11-14 12:17:OBTENIENDO DATOS CABECERA
2023-11-14 12:17:DATOS CABECERA EXTRAIDOS
2023-11-14 12:17:ANALIZANDO Orden_de_Despacho_2023_11_12_132129.PDF
2023-11-14 12:17:TEXTO EXTRAIDO
2023-11-14 12:17:ELIMINANDO DUPLICADOS
2023-11-14 12:17:OBTENIENDO DATOS TABLA
2023-11-14 12:17:DATOS TABLA EXTRAIDO
2023-11-14 12:17:OBTENIENDO DATOS CABECERA
2023-11-14 12:17:DATOS CABECERA EXTRAIDOS
2023-11-14 12:17:ANALIZANDO Orden_de_Despacho_2023_11_12_132132.PDF
2023-11-14 12:17:TEXTO EXTRAIDO
2023-11-14 12:17:ELIMINANDO DUPLICADOS
2023-11-14 12:17:OBTENIENDO DATOS TABLA
2023-11-14 12:17:DATOS TABLA EXTRAIDO
2023-11-14 12:17:OBTENIENDO DATOS CABECERA
2023-11-14 12:17:DATOS CABECERA EXTRAIDOS
2023-11-14 12:17:ANALIZANDO Orden_de_Despacho_2023_11_12_132136 (1).PDF
2023-11-14 12:17:TEXTO EXTRAIDO
2023-11-14 12:17:ELIMINANDO DUPLICADOS
2023-11-14 12:17:OBTENIENDO DATOS TABLA
2023-11-14 12:17:DATOS TABLA EXTRAIDO
2023-11-14 12:17:OBTENIENDO DATOS CABECERA
2023-11-14 12:17:DATOS CABECERA EXTRAIDOS
2023-11-14 12:17:ANALIZANDO Orden_de_Despacho_2023_11_12_132136.PDF
2023-11-14 12:17:TEXTO EXTRAIDO
2023-11-14 12:17:ELIMINANDO DUPLICADOS
2023-11-14 12:17:OBTENIENDO DATOS TABLA
2023-11-14 12:17:DATOS TABLA EXTRAIDO
2023-11-14 12:17:OBTENIENDO DATOS CABECERA
2023-11-14 12:17:DATOS CABECERA EXTRAIDOS
2023-11-14 12:17:ANALIZANDO Orden_de_Despacho_2023_11_12_132138.PDF
2023-11-14 12:17:TEXTO EXTRAIDO
2023-11-14 12:17:ELIMINANDO DUPLICADOS
2023-11-14 12:17:OBTENIENDO DATOS TABLA
2023-11-14 12:17:DATOS TABLA EXTRAIDO
2023-11-14 12:17:OBTENIENDO DATOS CABECERA
2023-11-14 12:17:DATOS CABECERA EXTRAIDOS
2023-11-14 12:17:ANALIZANDO Orden_de_Despacho_2023_11_12_132140.PDF
2023-11-14 12:17:TEXTO EXTRAIDO
2023-11-14 12:17:ELIMINANDO DUPLICADOS
2023-11-14 12:17:OBTENIENDO DATOS TABLA
2023-11-14 12:17:DATOS TABLA EXTRAIDO
2023-11-14 12:17:OBTENIENDO DATOS CABECERA
2023-11-14 12:17:DATOS CABECERA EXTRAIDOS
2023-11-14 12:17:ANALIZANDO Orden_de_Despacho_2023_11_12_132143.PDF
2023-11-14 12:17:TEXTO EXTRAIDO
2023-11-14 12:17:ELIMINANDO DUPLICADOS
2023-11-14 12:17:OBTENIENDO DATOS TABLA
2023-11-14 12:17:DATOS TABLA EXTRAIDO
2023-11-14 12:17:OBTENIENDO DATOS CABECERA
2023-11-14 12:17:DATOS CABECERA EXTRAIDOS
2023-11-14 12:17:ANALIZANDO Orden_de_Despacho_2023_11_12_132152 (1).PDF
2023-11-14 12:17:TEXTO EXTRAIDO
2023-11-14 12:17:ELIMINANDO DUPLICADOS
2023-11-14 12:17:OBTENIENDO DATOS TABLA
2023-11-14 12:17:DATOS TABLA EXTRAIDO
2023-11-14 12:17:OBTENIENDO DATOS CABECERA
